title,date_published,genre,director,actors,avg_vote,comb
metropolis,1927-02-06,"Drama, Sci-Fi",Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm",8.3,Alfred Abel  Gustav Fröhlich  Rudolf Klein-Rogge  Fritz Rasp  Theodor Loos  Erwin Biswanger  Heinrich George  Brigitte Helm Fritz Lang Drama  Sci-Fi
city lights,1931-08-21,"Comedy, Drama, Romance",Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin",8.5,Virginia Cherrill  Florence Lee  Harry Myers  Al Ernest Garcia  Hank Mann  Charles Chaplin Charles Chaplin Comedy  Drama  Romance
modern times,1936-10-16,"Comedy, Drama, Family",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta",8.5,Charles Chaplin  Paulette Goddard  Henry Bergman  Tiny Sandford  Chester Conklin  Hank Mann  Stanley Blystone  Al Ernest Garcia  Richard Alexander  Cecil Reynolds  Mira McKinney  Murdock MacQuarrie  Wilfred Lucas  Edward LeSaint  Fred Malatesta Charles Chaplin Comedy  Drama  Family
snow white and the seven dwarfs,1938-07-08,"Animation, Family, Fantasy","William Cottrell, David Hand","Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell",7.6,Roy Atwell  Stuart Buchanan  Adriana Caselotti  Eddie Collins  Pinto Colvig  Marion Darlington  Billy Gilbert  Otis Harlan  Lucille La Verne  James MacDonald  Scotty Mattraw  Moroni Olsen  Purv Pullen  Harry Stockwell William Cottrell  David Hand Animation  Family  Fantasy
gone with the wind,1942-09-04,"Drama, History, Romance","Victor Fleming, George Cukor","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",8.1,Thomas Mitchell  Barbara O'Neil  Vivien Leigh  Evelyn Keyes  Ann Rutherford  George Reeves  Fred Crane  Hattie McDaniel  Oscar Polk  Butterfly McQueen  Victor Jory  Everett Brown  Howard Hickman  Alicia Rhett  Leslie Howard Victor Fleming  George Cukor Drama  History  Romance
mr. smith goes to washington,1940-05-03,"Comedy, Drama",Frank Capra,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn",8.1,Jean Arthur  James Stewart  Claude Rains  Edward Arnold  Guy Kibbee  Thomas Mitchell  Eugene Pallette  Beulah Bondi  H.B. Warner  Harry Carey  Astrid Allwyn  Ruth Donnelly  Grant Mitchell  Porter Hall  H.V. Kaltenborn Frank Capra Comedy  Drama
the wizard of oz,1940-04-12,"Adventure, Family, Fantasy","Victor Fleming, George Cukor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",8.0,Judy Garland  Frank Morgan  Ray Bolger  Bert Lahr  Jack Haley  Billie Burke  Margaret Hamilton  Charley Grapewin  Pat Walshe  Clara Blandick  Terry  The Singer Midgets Victor Fleming  George Cukor Adventure  Family  Fantasy
fantasia,1942-04-03,"Animation, Family, Fantasy","James Algar, Samuel Armstrong","Leopold Stokowski, Deems Taylor",7.8,Leopold Stokowski  Deems Taylor James Algar  Samuel Armstrong Animation  Family  Fantasy
pinocchio,1940-09-06,"Animation, Comedy, Family","Norman Ferguson, T. Hee","Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Patricia Page, Christian Rub, Evelyn Venable",7.4,Mel Blanc  Don Brodie  Stuart Buchanan  Walter Catlett  Marion Darlington  Frankie Darro  Cliff Edwards  Dickie Jones  Charles Judels  John McLeish  Patricia Page  Christian Rub  Evelyn Venable Norman Ferguson  T. Hee Animation  Comedy  Family
citizen kane,1942-04-17,"Drama, Mystery",Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon",8.3,Joseph Cotten  Dorothy Comingore  Agnes Moorehead  Ruth Warrick  Ray Collins  Erskine Sanford  Everett Sloane  William Alland  Paul Stewart  George Coulouris  Fortunio Bonanova  Gus Schilling  Philip Van Zandt  Georgia Backus  Harry Shannon Orson Welles Drama  Mystery
casablanca,1943-01-23,"Drama, Romance, War",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",8.5,Humphrey Bogart  Ingrid Bergman  Paul Henreid  Claude Rains  Conrad Veidt  Sydney Greenstreet  Peter Lorre  S.Z. Sakall  Madeleine Lebeau  Dooley Wilson  Joy Page  John Qualen  Leonid Kinskey  Curt Bois Michael Curtiz Drama  Romance  War
kate & leopold,2002-04-05,"Comedy, Fantasy, Romance",James Mangold,"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",6.4,Meg Ryan  Hugh Jackman  Liev Schreiber  Breckin Meyer  Natasha Lyonne  Bradley Whitford  Paxton Whitehead  Spalding Gray  Josh Stamberg  Matthew Sussman  Charlotte Ayanna  Philip Bosco  Andrew Jack  Stan Tracy  Kristen Schaal James Mangold Comedy  Fantasy  Romance
the best years of our lives,1947-05-29,"Drama, Romance, War",William Wyler,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Cathy O'Donnell, Hoagy Carmichael, Harold Russell, Gladys George, Roman Bohnen, Ray Collins, Minna Gombell, Walter Baldwin, Steve Cochran, Dorothy Adams",8.0,Myrna Loy  Fredric March  Dana Andrews  Teresa Wright  Virginia Mayo  Cathy O'Donnell  Hoagy Carmichael  Harold Russell  Gladys George  Roman Bohnen  Ray Collins  Minna Gombell  Walter Baldwin  Steve Cochran  Dorothy Adams William Wyler Drama  Romance  War
the treasure of the sierra madre,1948-01-24,"Adventure, Drama, Western",John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel Dondé, José Torvay, Margarito Luna",8.2,Humphrey Bogart  Walter Huston  Tim Holt  Bruce Bennett  Barton MacLane  Alfonso Bedoya  Arturo Soto Rangel  Manuel Dondé  José Torvay  Margarito Luna John Huston Adventure  Drama  Western
all about eve,1951-02-02,Drama,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White",8.2,Bette Davis  Anne Baxter  George Sanders  Celeste Holm  Gary Merrill  Hugh Marlowe  Gregory Ratoff  Barbara Bates  Marilyn Monroe  Thelma Ritter  Walter Hampden  Randy Stuart  Craig Hill  Leland Harris  Barbara White Joseph L. Mankiewicz Drama
cinderella,1951-04-27,"Animation, Family, Fantasy","Clyde Geronimi, Wilfred Jackson","Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, James MacDonald, Helene Stanley, Luis Van Rooten, Don Barclay, Lucille Bliss, Jeffrey Stone, Mike Douglas, William Phipps, Marion Darlington, Earl Keen",7.3,Ilene Woods  Eleanor Audley  Verna Felton  Claire Du Brey  Rhoda Williams  James MacDonald  Helene Stanley  Luis Van Rooten  Don Barclay  Lucille Bliss  Jeffrey Stone  Mike Douglas  William Phipps  Marion Darlington  Earl Keen Clyde Geronimi  Wilfred Jackson Animation  Family  Fantasy
rashômon,1957-11-01,"Crime, Drama, Mystery",Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki, Kichijirô Ueda, Noriko Honma, Daisuke Katô",8.2,Toshirô Mifune  Machiko Kyô  Masayuki Mori  Takashi Shimura  Minoru Chiaki  Kichijirô Ueda  Noriko Honma  Daisuke Katô Akira Kurosawa Crime  Drama  Mystery
singin' in the rain,1953-01-16,"Comedy, Musical, Romance","Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno",8.3,Gene Kelly  Donald O'Connor  Debbie Reynolds  Jean Hagen  Millard Mitchell  Cyd Charisse  Douglas Fowley  Rita Moreno Stanley Donen  Gene Kelly Comedy  Musical  Romance
from here to eternity,1953-08-28,"Drama, Romance, War",Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober, Mickey Shaughnessy, Harry Bellaver, Ernest Borgnine, Jack Warden, John Dennis, Merle Travis, Tim Ryan, Arthur Keegan, Barbara Morrison",7.6,Burt Lancaster  Montgomery Clift  Deborah Kerr  Donna Reed  Frank Sinatra  Philip Ober  Mickey Shaughnessy  Harry Bellaver  Ernest Borgnine  Jack Warden  John Dennis  Merle Travis  Tim Ryan  Arthur Keegan  Barbara Morrison Fred Zinnemann Drama  Romance  War
little fugitive,1953-12-16,"Drama, Family","Ray Ashley, Morris Engel","Richard Brewster, Winifred Cushing, Jay Williams, Will Lee, Charlie Moss, Tommy DeCanio, Richie Andrusco",7.5,Richard Brewster  Winifred Cushing  Jay Williams  Will Lee  Charlie Moss  Tommy DeCanio  Richie Andrusco Ray Ashley  Morris Engel Drama  Family
peter pan,1953-07-31,"Animation, Adventure, Family","Clyde Geronimi, Wilfred Jackson","Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins, Tommy Luske, Candy Candido, Tom Conway, Roland Dupree, Don Barclay",7.3,Bobby Driscoll  Kathryn Beaumont  Hans Conried  Bill Thompson  Heather Angel  Paul Collins  Tommy Luske  Candy Candido  Tom Conway  Roland Dupree  Don Barclay Clyde Geronimi  Wilfred Jackson Animation  Adventure  Family
the caine mutiny,1954-06-24,"Drama, War",Edward Dmytryk,"Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray, Robert Francis, May Wynn, Tom Tully, E.G. Marshall, Arthur Franz, Lee Marvin, Warner Anderson, Claude Akins, Katherine Warren, Jerry Paris, Steve Brodie",7.7,Humphrey Bogart  José Ferrer  Van Johnson  Fred MacMurray  Robert Francis  May Wynn  Tom Tully  E.G. Marshall  Arthur Franz  Lee Marvin  Warner Anderson  Claude Akins  Katherine Warren  Jerry Paris  Steve Brodie Edward Dmytryk Drama  War
dial m for murder,1955-01-28,"Crime, Thriller",Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings, John Williams, Anthony Dawson, Leo Britt, Patrick Allen, George Leigh, George Alderson, Robin Hughes",8.2,Ray Milland  Grace Kelly  Robert Cummings  John Williams  Anthony Dawson  Leo Britt  Patrick Allen  George Leigh  George Alderson  Robin Hughes Alfred Hitchcock Crime  Thriller
gojira,1954-11-03,"Drama, Horror, Sci-Fi",Ishirô Honda,"Akira Takarada, Momoko Kôchi, Akihiko Hirata, Takashi Shimura, Fuyuki Murakami, Sachio Sakai, Toranosuke Ogawa, Ren Yamamoto, Hiroshi Hayashi, Seijirô Onda, Tsuruko Mano, Takeo Oikawa, Toyoaki Suzuki, Kokuten Kôdô, Tadashi Okabe",7.6,Akira Takarada  Momoko Kôchi  Akihiko Hirata  Takashi Shimura  Fuyuki Murakami  Sachio Sakai  Toranosuke Ogawa  Ren Yamamoto  Hiroshi Hayashi  Seijirô Onda  Tsuruko Mano  Takeo Oikawa  Toyoaki Suzuki  Kokuten Kôdô  Tadashi Okabe Ishirô Honda Drama  Horror  Sci-Fi
rear window,1955-01-07,"Mystery, Thriller",Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport",8.4,James Stewart  Grace Kelly  Wendell Corey  Thelma Ritter  Raymond Burr  Judith Evelyn  Ross Bagdasarian  Georgine Darcy  Sara Berner  Frank Cady  Jesslyn Fax  Rand Harper  Irene Winston  Havis Davenport Alfred Hitchcock Mystery  Thriller
shichinin no samurai,1954-04-26,"Action, Adventure, Drama",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno",8.6,Toshirô Mifune  Takashi Shimura  Keiko Tsushima  Yukiko Shimazaki  Kamatari Fujiwara  Daisuke Katô  Isao Kimura  Minoru Chiaki  Seiji Miyaguchi  Yoshio Kosugi  Bokuzen Hidari  Yoshio Inaba  Yoshio Tsuchiya  Kokuten Kôdô  Eijirô Tôno Akira Kurosawa Action  Adventure  Drama
a star is born,1954-10-16,"Drama, Musical, Romance",George Cukor,"Judy Garland, James Mason, Jack Carson, Charles Bickford, Tommy Noonan, Lucy Marlow, Amanda Blake, Irving Bacon, Hazel Shermet, James Brown",7.6,Judy Garland  James Mason  Jack Carson  Charles Bickford  Tommy Noonan  Lucy Marlow  Amanda Blake  Irving Bacon  Hazel Shermet  James Brown George Cukor Drama  Musical  Romance
bob le flambeur,1956-08-24,"Crime, Drama, Thriller",Jean-Pierre Melville,"Isabelle Corey, Daniel Cauchy, Roger Duchesne, Guy Decomble, André Garet, Gérard Buhr, Claude Cerval, Colette Fleury, René Havard, Simone Paris, Howard Vernon, Henry Allaume, Germaine Licht, Yvette Amirante, Dominique Antoine",7.7,Isabelle Corey  Daniel Cauchy  Roger Duchesne  Guy Decomble  André Garet  Gérard Buhr  Claude Cerval  Colette Fleury  René Havard  Simone Paris  Howard Vernon  Henry Allaume  Germaine Licht  Yvette Amirante  Dominique Antoine Jean-Pierre Melville Crime  Drama  Thriller
lady and the tramp,1955-12-23,"Animation, Adventure, Comedy","Clyde Geronimi, Wilfred Jackson","Peggy Lee, Larry Roberts, Bill Baucom, Verna Felton, George Givot, Stan Freberg, Lee Millar, Barbara Luddy, Bill Thompson, Dal McKennon, Alan Reed, The Mellomen",7.3,Peggy Lee  Larry Roberts  Bill Baucom  Verna Felton  George Givot  Stan Freberg  Lee Millar  Barbara Luddy  Bill Thompson  Dal McKennon  Alan Reed  The Mellomen Clyde Geronimi  Wilfred Jackson Animation  Adventure  Comedy
rebel without a cause,1955-10-29,Drama,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo, Jim Backus, Ann Doran, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt, Steffi Sidney, Marietta Canty, Virginia Brissac, Beverly Long, Ian Wolfe",7.7,James Dean  Natalie Wood  Sal Mineo  Jim Backus  Ann Doran  Corey Allen  William Hopper  Rochelle Hudson  Dennis Hopper  Edward Platt  Steffi Sidney  Marietta Canty  Virginia Brissac  Beverly Long  Ian Wolfe Nicholas Ray Drama
giant,1957-06-07,"Drama, Western",George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker, Jane Withers, Chill Wills, Mercedes McCambridge, Dennis Hopper, Sal Mineo, Rod Taylor, Judith Evelyn, Earl Holliman, Robert Nichols, Paul Fix, Alexander Scourby",7.6,Elizabeth Taylor  Rock Hudson  James Dean  Carroll Baker  Jane Withers  Chill Wills  Mercedes McCambridge  Dennis Hopper  Sal Mineo  Rod Taylor  Judith Evelyn  Earl Holliman  Robert Nichols  Paul Fix  Alexander Scourby George Stevens Drama  Western
the bridge on the river kwai,1958-01-03,"Adventure, Drama, War",David Lean,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, James Donald, Geoffrey Horne, André Morell, Peter Williams, John Boxer, Percy Herbert, Harold Goodwin, Ann Sears, Heihachirô Ôkawa, Keiichirô Katsumoto, M.R.B. Chakrabandhu",8.1,William Holden  Alec Guinness  Jack Hawkins  Sessue Hayakawa  James Donald  Geoffrey Horne  André Morell  Peter Williams  John Boxer  Percy Herbert  Harold Goodwin  Ann Sears  Heihachirô Ôkawa  Keiichirô Katsumoto  M.R.B. Chakrabandhu David Lean Adventure  Drama  War
touch of evil,1958-06-06,"Crime, Drama, Film-Noir",Orson Welles,"Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia, Akim Tamiroff, Joanna Moore, Ray Collins, Dennis Weaver, Valentin de Vargas, Mort Mills, Victor Millan, Lalo Rios, Michael Sargent, Phil Harvey, Joi Lansing",8.0,Charlton Heston  Janet Leigh  Orson Welles  Joseph Calleia  Akim Tamiroff  Joanna Moore  Ray Collins  Dennis Weaver  Valentin de Vargas  Mort Mills  Victor Millan  Lalo Rios  Michael Sargent  Phil Harvey  Joi Lansing Orson Welles Crime  Drama  Film-Noir
vertigo,1958-10-03,"Mystery, Romance, Thriller",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick",8.3,James Stewart  Kim Novak  Barbara Bel Geddes  Tom Helmore  Henry Jones  Raymond Bailey  Ellen Corby  Konstantin Shayne  Lee Patrick Alfred Hitchcock Mystery  Romance  Thriller
ben-hur,1960-09-09,"Adventure, Drama, History",William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell",8.1,Charlton Heston  Jack Hawkins  Haya Harareet  Stephen Boyd  Hugh Griffith  Martha Scott  Cathy O'Donnell  Sam Jaffe  Finlay Currie  Frank Thring  Terence Longdon  George Relph  André Morell William Wyler Adventure  Drama  History
sleeping beauty,1959-12-18,"Animation, Family, Fantasy",Clyde Geronimi,"Mary Costa, Bill Shirley, Eleanor Audley, Verna Felton, Barbara Luddy, Barbara Jo Allen, Taylor Holmes, Bill Thompson",7.2,Mary Costa  Bill Shirley  Eleanor Audley  Verna Felton  Barbara Luddy  Barbara Jo Allen  Taylor Holmes  Bill Thompson Clyde Geronimi Animation  Family  Fantasy
le petit soldat,1963-01-25,"War, Drama",Jean-Luc Godard,"Michel Subor, Anna Karina, Henri-Jacques Huet, Paul Beauvais, László Szabó",7.3,Michel Subor  Anna Karina  Henri-Jacques Huet  Paul Beauvais  László Szabó Jean-Luc Godard War  Drama
psycho,1961-07-07,"Horror, Mystery, Thriller",Alfred Hitchcock,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills",8.5,Anthony Perkins  Vera Miles  John Gavin  Janet Leigh  Martin Balsam  John McIntire  Simon Oakland  Frank Albertson  Patricia Hitchcock  Vaughn Taylor  Lurene Tuttle  John Anderson  Mort Mills Alfred Hitchcock Horror  Mystery  Thriller
spartacus,1962-02-09,"Adventure, Biography, Drama",Stanley Kubrick,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton, Peter Ustinov, John Gavin, Nina Foch, John Ireland, Herbert Lom, John Dall, Charles McGraw, Joanna Barnes, Harold J. Stone, Woody Strode, Peter Brocco",7.9,Kirk Douglas  Laurence Olivier  Jean Simmons  Charles Laughton  Peter Ustinov  John Gavin  Nina Foch  John Ireland  Herbert Lom  John Dall  Charles McGraw  Joanna Barnes  Harold J. Stone  Woody Strode  Peter Brocco Stanley Kubrick Adventure  Biography  Drama
swiss family robinson,1961-06-30,"Adventure, Family",Ken Annakin,"John Mills, Dorothy McGuire, James MacArthur, Janet Munro, Sessue Hayakawa, Tommy Kirk, Kevin Corcoran, Cecil Parker, Andy Ho, Milton Reid, Larry Taylor",7.2,John Mills  Dorothy McGuire  James MacArthur  Janet Munro  Sessue Hayakawa  Tommy Kirk  Kevin Corcoran  Cecil Parker  Andy Ho  Milton Reid  Larry Taylor Ken Annakin Adventure  Family
one hundred and one dalmatians,1961-12-22,"Animation, Adventure, Comedy","Clyde Geronimi, Hamilton Luske","Rod Taylor, J. Pat O'Malley, Betty Lou Gerson, Martha Wentworth, Ben Wright, Cate Bauer, David Frankham, Frederick Worlock, Lisa Davis, Tom Conway, Tudor Owen, George Pelling, Ramsay Hill, Sylvia Marriott, Queenie Leonard",7.2,Rod Taylor  J. Pat O'Malley  Betty Lou Gerson  Martha Wentworth  Ben Wright  Cate Bauer  David Frankham  Frederick Worlock  Lisa Davis  Tom Conway  Tudor Owen  George Pelling  Ramsay Hill  Sylvia Marriott  Queenie Leonard Clyde Geronimi  Hamilton Luske Animation  Adventure  Comedy
une femme est une femme,1961-09-06,"Comedy, Drama, Romance",Jean-Luc Godard,"Jean-Claude Brialy, Anna Karina, Jean-Paul Belmondo",7.5,Jean-Claude Brialy  Anna Karina  Jean-Paul Belmondo Jean-Luc Godard Comedy  Drama  Romance
west side story,1961-12-23,"Crime, Drama, Musical","Jerome Robbins, Robert Wise","Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno, George Chakiris, Simon Oakland, Ned Glass, William Bramley, Tucker Smith, Tony Mordente, David Winters, Eliot Feld, Bert Michaels, David Bean, Robert Banas",7.5,Natalie Wood  Richard Beymer  Russ Tamblyn  Rita Moreno  George Chakiris  Simon Oakland  Ned Glass  William Bramley  Tucker Smith  Tony Mordente  David Winters  Eliot Feld  Bert Michaels  David Bean  Robert Banas Jerome Robbins  Robert Wise Crime  Drama  Musical
dr. no,1962-10-12,"Action, Adventure, Thriller",Terence Young,"Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord, Bernard Lee, Anthony Dawson, Zena Marshall, John Kitzmiller, Eunice Gayson, Lois Maxwell, Peter Burton, Yvonne Shima, Michel Mok, Marguerite LeWars, William Foster-Davis",7.3,Sean Connery  Ursula Andress  Joseph Wiseman  Jack Lord  Bernard Lee  Anthony Dawson  Zena Marshall  John Kitzmiller  Eunice Gayson  Lois Maxwell  Peter Burton  Yvonne Shima  Michel Mok  Marguerite LeWars  William Foster-Davis Terence Young Action  Adventure  Thriller
how the west was won,1963-02-20,Western,"John Ford, Henry Hathaway","Carroll Baker, Lee J. Cobb, Henry Fonda, Carolyn Jones, Karl Malden, Gregory Peck, George Peppard, Robert Preston, Debbie Reynolds, James Stewart, Eli Wallach, John Wayne, Richard Widmark, Brigid Bazlen, Walter Brennan",7.1,Carroll Baker  Lee J. Cobb  Henry Fonda  Carolyn Jones  Karl Malden  Gregory Peck  George Peppard  Robert Preston  Debbie Reynolds  James Stewart  Eli Wallach  John Wayne  Richard Widmark  Brigid Bazlen  Walter Brennan John Ford  Henry Hathaway Western
lawrence of arabia,1963-07-26,"Adventure, Biography, Drama",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy, Donald Wolfit, I.S. Johar, Gamil Ratib, Michel Ray, John Dimech, Zia Mohyeddin",8.3,Peter O'Toole  Alec Guinness  Anthony Quinn  Jack Hawkins  Omar Sharif  José Ferrer  Anthony Quayle  Claude Rains  Arthur Kennedy  Donald Wolfit  I.S. Johar  Gamil Ratib  Michel Ray  John Dimech  Zia Mohyeddin David Lean Adventure  Biography  Drama
the manchurian candidate,1962-10-24,"Drama, Thriller",John Frankenheimer,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury, Henry Silva, James Gregory, Leslie Parrish, John McGiver, Khigh Dhiegh, James Edwards, Douglas Henderson, Albert Paulsen, Barry Kelley, Lloyd Corrigan, Madame Spivy",7.9,Frank Sinatra  Laurence Harvey  Janet Leigh  Angela Lansbury  Henry Silva  James Gregory  Leslie Parrish  John McGiver  Khigh Dhiegh  James Edwards  Douglas Henderson  Albert Paulsen  Barry Kelley  Lloyd Corrigan  Madame Spivy John Frankenheimer Drama  Thriller
to kill a mockingbird,1963-07-12,"Crime, Drama",Robert Mulligan,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy, Ruth White, Brock Peters, Estelle Evans, Paul Fix, Collin Wilcox Paxton, James Anderson, Alice Ghostley, Robert Duvall, William Windom, Crahan Denton, Richard Hale",8.3,Gregory Peck  John Megna  Frank Overton  Rosemary Murphy  Ruth White  Brock Peters  Estelle Evans  Paul Fix  Collin Wilcox Paxton  James Anderson  Alice Ghostley  Robert Duvall  William Windom  Crahan Denton  Richard Hale Robert Mulligan Crime  Drama
cleopatra,1963-07-31,"Biography, Drama, History",Joseph L. Mankiewicz,"Elizabeth Taylor, Richard Burton, Rex Harrison, Pamela Brown, George Cole, Hume Cronyn, Cesare Danova, Kenneth Haigh, Andrew Keir, Martin Landau, Roddy McDowall, Robert Stephens, Francesca Annis, Grégoire Aslan, Martin Benson",7.0,Elizabeth Taylor  Richard Burton  Rex Harrison  Pamela Brown  George Cole  Hume Cronyn  Cesare Danova  Kenneth Haigh  Andrew Keir  Martin Landau  Roddy McDowall  Robert Stephens  Francesca Annis  Grégoire Aslan  Martin Benson Joseph L. Mankiewicz Biography  Drama  History
dr. strangelove or: how i learned to stop worrying and love the bomb,1965-05-14,Comedy,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili",8.4,Peter Sellers  George C. Scott  Sterling Hayden  Keenan Wynn  Slim Pickens  Peter Bull  James Earl Jones  Tracy Reed  Jack Creley  Frank Berry  Robert O'Neil  Glenn Beck  Roy Stephens  Shane Rimmer  Hal Galili Stanley Kubrick Comedy
from russia with love,1964-02-07,"Action, Adventure, Thriller",Terence Young,"Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya, Robert Shaw, Bernard Lee, Eunice Gayson, Walter Gotell, Francis De Wolff, George Pastell, Nadja Regin, Lois Maxwell, Aliza Gur, Martine Beswick, Vladek Sheybal",7.4,Sean Connery  Daniela Bianchi  Pedro Armendáriz  Lotte Lenya  Robert Shaw  Bernard Lee  Eunice Gayson  Walter Gotell  Francis De Wolff  George Pastell  Nadja Regin  Lois Maxwell  Aliza Gur  Martine Beswick  Vladek Sheybal Terence Young Action  Adventure  Thriller
