title,date_published,genre,director,actors,avg_vote,comb
kung fu panda,2008-07-04,"Animation, Action, Adventure","Mark Osborne, John Stevenson","Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, Randall Duk Kim, James Hong, Dan Fogler, Michael Clarke Duncan, Wayne Knight, Kyle Gass, JR Reed",7.5,Jack Black  Dustin Hoffman  Angelina Jolie  Ian McShane  Jackie Chan  Seth Rogen  Lucy Liu  David Cross  Randall Duk Kim  James Hong  Dan Fogler  Michael Clarke Duncan  Wayne Knight  Kyle Gass  JR Reed Mark Osborne  John Stevenson Animation  Action  Adventure
lonely hearts,2006-10-21,"Biography, Crime, Drama",Todd Robinson,"John Travolta, James Gandolfini, Jared Leto, Salma Hayek, Scott Caan, Laura Dern, Michael Gaston, Bruce MacVittie, Dan Byrd, Andrew E. Wheeler, Alice Krige, Dagmara Dominczyk, John Doman, Bailee Madison, Ellen Travolta",6.4,John Travolta  James Gandolfini  Jared Leto  Salma Hayek  Scott Caan  Laura Dern  Michael Gaston  Bruce MacVittie  Dan Byrd  Andrew E. Wheeler  Alice Krige  Dagmara Dominczyk  John Doman  Bailee Madison  Ellen Travolta Todd Robinson Biography  Crime  Drama
stay alive,2006-07-28,"Fantasy, Horror, Mystery",William Brent Bell,"Jon Foster, Samaire Armstrong, Frankie Muniz, Jimmi Simpson, Wendell Pierce, Milo Ventimiglia, Sophia Bush, Adam Goldberg, Billy Slaughter, Nicole Oppermann, April Wood, Monica Monica, Rio Hackford, Billy Louviere, J. Richey Nash",5.1,Jon Foster  Samaire Armstrong  Frankie Muniz  Jimmi Simpson  Wendell Pierce  Milo Ventimiglia  Sophia Bush  Adam Goldberg  Billy Slaughter  Nicole Oppermann  April Wood  Monica Monica  Rio Hackford  Billy Louviere  J. Richey Nash William Brent Bell Fantasy  Horror  Mystery
volver,2006-08-25,"Comedy, Drama",Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave, Antonio de la Torre, Carlos Blanco, María Isabel Díaz Lago, Neus Sanz, Leandro Rivera, Pepa Aniorte, Yolanda Ramos, Elvira Cuadrupani, María Alfonsa Rosso",7.6,Penélope Cruz  Carmen Maura  Lola Dueñas  Blanca Portillo  Yohana Cobo  Chus Lampreave  Antonio de la Torre  Carlos Blanco  María Isabel Díaz Lago  Neus Sanz  Leandro Rivera  Pepa Aniorte  Yolanda Ramos  Elvira Cuadrupani  María Alfonsa Rosso Pedro Almodóvar Comedy  Drama
beowulf,2007-11-16,"Animation, Action, Adventure",Robert Zemeckis,"Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian, Rod D. Harbour, Brice Martin, Sonje Fortag, Sharisse Baker-Bernard, Charlotte Salt, Julene Renee, Greg Ellis, Rik Young, Sebastian Roché, Leslie Zemeckis, John Malkovich",6.2,Robin Wright  Anthony Hopkins  Paul Baker  John Bilezikjian  Rod D. Harbour  Brice Martin  Sonje Fortag  Sharisse Baker-Bernard  Charlotte Salt  Julene Renee  Greg Ellis  Rik Young  Sebastian Roché  Leslie Zemeckis  John Malkovich Robert Zemeckis Animation  Action  Adventure
lincoln,2013-01-25,"Biography, Drama, History",Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, John Hawkes, Jackie Earle Haley, Bruce McGill, Tim Blake Nelson, Joseph Cross, Jared Harris, Lee Pace, Peter McRobbie",7.3,Daniel Day-Lewis  Sally Field  David Strathairn  Joseph Gordon-Levitt  James Spader  Hal Holbrook  Tommy Lee Jones  John Hawkes  Jackie Earle Haley  Bruce McGill  Tim Blake Nelson  Joseph Cross  Jared Harris  Lee Pace  Peter McRobbie Steven Spielberg Biography  Drama  History
vantage point,2008-03-07,"Action, Crime, Drama",Pete Travis,"Dennis Quaid, Matthew Fox, Forest Whitaker, Bruce McGill, Edgar Ramírez, Saïd Taghmaoui, Ayelet Zurer, Zoe Saldana, Sigourney Weaver, William Hurt, James Le Gros, Eduardo Noriega, Richard T. Jones, Holt McCallany, Leonardo Nam",6.6,Dennis Quaid  Matthew Fox  Forest Whitaker  Bruce McGill  Edgar Ramírez  Saïd Taghmaoui  Ayelet Zurer  Zoe Saldana  Sigourney Weaver  William Hurt  James Le Gros  Eduardo Noriega  Richard T. Jones  Holt McCallany  Leonardo Nam Pete Travis Action  Crime  Drama
"yours, mine & ours",2006-03-31,"Comedy, Family, Fantasy",Raja Gosnell,"Dennis Quaid, Rene Russo, Sean Faris, Katija Pevec, Dean Collins, Tyler Patrick Jones, Haley Ramm, Brecken Palmer, Bridger Palmer, Ty Panitz, Danielle Panabaker, Drake Bell, Miki Ishikawa, Slade Pearce, Lil J.J.",5.5,Dennis Quaid  Rene Russo  Sean Faris  Katija Pevec  Dean Collins  Tyler Patrick Jones  Haley Ramm  Brecken Palmer  Bridger Palmer  Ty Panitz  Danielle Panabaker  Drake Bell  Miki Ishikawa  Slade Pearce  Lil J.J. Raja Gosnell Comedy  Family  Fantasy
another gay movie,2007-05-03,"Comedy, Romance",Todd Stephens,"Michael Carbonaro, Jonah Blechman, Jonathan Chase, Mitch Morris, Ashlie Atkinson, Scott Thompson, Graham Norton, Stephanie McVay, James Getzlaff, Darryl Stephens, John Epperson, Richard Hatch, George Marcy, Matthew Rush, Joanna Leeds",4.9,Michael Carbonaro  Jonah Blechman  Jonathan Chase  Mitch Morris  Ashlie Atkinson  Scott Thompson  Graham Norton  Stephanie McVay  James Getzlaff  Darryl Stephens  John Epperson  Richard Hatch  George Marcy  Matthew Rush  Joanna Leeds Todd Stephens Comedy  Romance
la bestia nel cuore,2005-09-09,"Drama, Mystery",Cristina Comencini,"Giovanna Mezzogiorno, Alessio Boni, Stefania Rocca, Angela Finocchiaro, Giuseppe Battiston, Luigi Lo Cascio, Valerio Binasco, Francesca Inaudi, Lucy Akhurst, Lewis Lemperuer Palmer, Jeke-Omer Boyayanlar, Simona Lisi, Alessandra Mastronardi, Roberto Infascelli, Julian Ferro",6.4,Giovanna Mezzogiorno  Alessio Boni  Stefania Rocca  Angela Finocchiaro  Giuseppe Battiston  Luigi Lo Cascio  Valerio Binasco  Francesca Inaudi  Lucy Akhurst  Lewis Lemperuer Palmer  Jeke-Omer Boyayanlar  Simona Lisi  Alessandra Mastronardi  Roberto Infascelli  Julian Ferro Cristina Comencini Drama  Mystery
o jerusalem,2006-10-18,"Drama, History",Élie Chouraqui,"JJ Feild, Saïd Taghmaoui, Maria Papas, Patrick Bruel, Ian Holm, Tovah Feldshuh, Mel Raido, Cécile Cassel, Mhairi Morrison, Tom Conti, Shirel, Peter Polycarpou, Daniel Lundh, Anatol Yusef, Jamie Harding",6.1,JJ Feild  Saïd Taghmaoui  Maria Papas  Patrick Bruel  Ian Holm  Tovah Feldshuh  Mel Raido  Cécile Cassel  Mhairi Morrison  Tom Conti  Shirel  Peter Polycarpou  Daniel Lundh  Anatol Yusef  Jamie Harding Élie Chouraqui Drama  History
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006-11-02,Comedy,Larry Charles,"Sacha Baron Cohen, Ken Davitian, Luenell, Chester, Charlie",7.3,Sacha Baron Cohen  Ken Davitian  Luenell  Chester  Charlie Larry Charles Comedy
dreamgirls,2007-02-02,"Drama, Music, Musical",Bill Condon,"Jamie Foxx, Beyoncé, Eddie Murphy, Danny Glover, Jennifer Hudson, Anika Noni Rose, Keith Robinson, Sharon Leal, Hinton Battle, Mariah Iman Wilson, Yvette Cason, Ken Page, Ralph Louis Harris, Michael-Leon Wooley, Loretta Devine",6.5,Jamie Foxx  Beyoncé  Eddie Murphy  Danny Glover  Jennifer Hudson  Anika Noni Rose  Keith Robinson  Sharon Leal  Hinton Battle  Mariah Iman Wilson  Yvette Cason  Ken Page  Ralph Louis Harris  Michael-Leon Wooley  Loretta Devine Bill Condon Drama  Music  Musical
edmond,2006-11-24,"Drama, Thriller",Stuart Gordon,"William H. Macy, Frances Bay, Rebecca Pidgeon, Joe Mantegna, Denise Richards, Wendy Thompson, Vincent Guastaferro, Bai Ling, Matt Landers, Dulé Hill, Russell Hornsby, Aldis Hodge, Debi Mazar, Mena Suvari, Jeffrey Combs",6.2,William H. Macy  Frances Bay  Rebecca Pidgeon  Joe Mantegna  Denise Richards  Wendy Thompson  Vincent Guastaferro  Bai Ling  Matt Landers  Dulé Hill  Russell Hornsby  Aldis Hodge  Debi Mazar  Mena Suvari  Jeffrey Combs Stuart Gordon Drama  Thriller
film geek,2005-01-28,Comedy,James Westby,"Melik Malkasian, Ritah Parrish, John Breen, Dennis Adkins, Tara Walker, Taylor Nida, Daphne Carver, Kristen Torrianni, Michelle Garner, Michael Ramirez, Jack Ryan, Kim Hill, Tyler Gannon, Leslie Taylor, Tony St. Clair",6.1,Melik Malkasian  Ritah Parrish  John Breen  Dennis Adkins  Tara Walker  Taylor Nida  Daphne Carver  Kristen Torrianni  Michelle Garner  Michael Ramirez  Jack Ryan  Kim Hill  Tyler Gannon  Leslie Taylor  Tony St. Clair James Westby Comedy
hoodwinked!,2006-09-29,"Animation, Comedy, Crime","Cory Edwards, Todd Edwards","Anne Hathaway, Glenn Close, Jim Belushi, Patrick Warburton, Anthony Anderson, David Ogden Stiers, Xzibit, Chazz Palminteri, Andy Dick, Cory Edwards, Benjy Gaither, Ken Marino, Tom Kenny, Preston Stutzman, Tony Leech",6.4,Anne Hathaway  Glenn Close  Jim Belushi  Patrick Warburton  Anthony Anderson  David Ogden Stiers  Xzibit  Chazz Palminteri  Andy Dick  Cory Edwards  Benjy Gaither  Ken Marino  Tom Kenny  Preston Stutzman  Tony Leech Cory Edwards  Todd Edwards Animation  Comedy  Crime
the illusionist,2007-03-02,"Drama, Fantasy, History",Neil Burger,"Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Jake Wood, Tom Fisher, Aaron Taylor-Johnson, Eleanor Tomlinson, Karl Johnson, Vincent Franklin, Nicholas Blane, Philip McGough, Erich Redman, Michael Carter",7.6,Edward Norton  Paul Giamatti  Jessica Biel  Rufus Sewell  Eddie Marsan  Jake Wood  Tom Fisher  Aaron Taylor-Johnson  Eleanor Tomlinson  Karl Johnson  Vincent Franklin  Nicholas Blane  Philip McGough  Erich Redman  Michael Carter Neil Burger Drama  Fantasy  History
